Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2, as a woman you shouldnt complain about cleaning up your house as a man you should always take the trash out
1,3,0,3,0,1, boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place
2,3,0,3,0,1, dawg you ever fuck a bitch and she start to cry you be confused as shit
3,3,0,2,1,1, she look like a tranny
4,6,0,6,0,1, the shit you hear about me might be true or it might be faker than the bitch who told it to ya 
5,3,1,2,0,1, the shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 
6,3,0,3,0,1, i can not just sit up and hate on another bitch i got too much shit going on
7,3,0,3,0,1, cause im tired of you big bitches coming for us skinny girls
8,3,0,3,0,1, you might not get ya bitch back thats that 
9,3,1,2,0,1, hobbies include fighting mariambitch
10,3,0,3,0,1, keeks is a bitch she curves everyone lol i walked into a conversation like this smh
11,3,0,3,0,1, murda gang bitch its gang land 
12,3,0,2,1,1, so hoes that smoke are losers yea go on ig
13,3,0,3,0,1, bad bitches is the only thing that i like 
14,3,1,2,0,1, bitch get up off me 
15,3,0,3,0,1, bitch nigga miss me with it 
16,3,0,3,0,1, bitch plz whatever 
17,3,1,2,0,1, bitch who do you love 
18,3,0,3,0,1, bitches get cut off everyday b 
19,3,0,3,0,1, black bottle a bad bitch 
20,3,0,3,0,1, broke bitch cant tell me nothing 
21,3,0,3,0,1, cancel that bitch like nino 
22,3,0,3,0,1, cant you see these hoes wont change 
23,3,0,3,0,1, fuck no that bitch dont even suck dick the kermit videos bout to fuck ig up
24,3,0,3,0,1, got ya bitch tip toeing on my hardwood floors 
25,3,0,2,1,1, her pussy lips like heaven doors 
26,3,0,3,0,1, hoe what its hitting for 
27,3,0,3,0,1, i met that pussy on ocean dr i gave that pussy a pill 
28,3,0,3,0,1, i need a trippy bitch who fuck on hennessy 
29,3,0,3,0,1, i spend my money how i want bitch its my business 
30,3,0,3,0,1, i txt my old bitch my new bitch pussy wetter 
31,3,0,3,0,1, id say im back to the old me but my old bitches would get excited 
32,3,0,3,0,1, if you aint bout that murder game pussy nigga shut up 
33,3,0,3,0,1, if youre toes aint done you pussy stinks 
34,3,0,3,0,1, im done with bitter bitches its a wrap for that if you a angry bird theres a app for that 
35,3,0,3,0,1, is that ya bitch 
36,3,0,3,0,1, it aint nothing to cut a bitch off 
37,3,0,3,0,1, jus meet son now he ya mane ass bitches shots
38,3,0,2,1,1, lames crying over hoes thats tears of a clown 
39,3,0,3,0,1, like snoop said in 94 we dont love these hoes 
40,3,0,1,2,2, momma said no pussy cats inside my doghouse 
41,3,0,3,0,1, most hated but the hoes favorite 
42,3,0,3,0,1, nice girls bad make me get naughty bad yello hoe real nice body down south chick like em real thick 
43,3,0,3,0,1, pimps up pimps up hoes down future voice
44,3,0,3,0,1, post a picture of that pussy get 200 likes 
45,3,0,3,0,1, pussy is a powerful drug 
46,3,0,3,0,1, quick piece of pussy call it a drive by 
47,3,0,3,0,1, running round here like some brand new pussy thats bout to get fucked 
48,3,0,3,0,1, these bitches even worst theyll send them guys for you 
49,3,1,2,0,1, these hoes like niggas that spend money not talk bout it 
50,3,1,2,0,1, we dont trust these niggas all these bitches 
51,3,0,3,0,1, yall niggas b cuffing hoes cause yall aint never have bitches 
52,3,0,3,0,1, you dodge a bullet all da bitches i cut off pregnant or bound to be thank god 
53,3,0,3,0,1, young pill chamberlain these bitches love my music 
54,3,0,2,1,1, teanna trump probably cleaner than most of these twitter hoes but
55,3,0,3,0,1, gay niggas couldnt wait to act like bitches tonight
56,3,0,3,0,1, and ima steal his cat n replace it with a pitbull he a bitch you should do it
57,3,0,3,0,1, hes gone always be a hoe
58,3,0,3,0,1,son of a bitch took my tic tacsi like this movie
59,3,0,3,0,1,all i wanna do is get money and fuck model bitches russell simmons
60,3,0,2,1,1, i probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers retweet
61,3,0,3,0,1, im a fucking fag they said
62,3,0,3,0,1, females think dating a pussy is cute now how does doing this stuff make him a pussy
63,3,0,0,3,2, simplyaddictedtoguys woof woof hot scally lad
64,3,0,3,0,1, have ya ever asked your bitch for other bitches kanye voice yes
65,3,0,3,0,1, how u gone bring ur side bitch to a game where you know ya gf friends at i swear
66,3,0,1,2,2, woof woof and hot soles
67,3,0,1,2,2, lemmie eat a oreo do these dishes one oreo lol
68,3,0,3,0,1, bitch fuck u maybe youll get better just 
69,3,1,2,0,1, fuck red malone man bitch ass niggah could you please use complete sentences
70,3,0,0,3,2, why the eggplant emoji doey he say she looked like scream lmao
71,3,0,3,0,1, hennessey venom gt thats one sexy bitch
72,3,0,3,0,1, him seh me pussy wetter then a shower curtainahmesehwetnesslmao
73,3,0,3,0,1, and every need to see that pic i just posted because that bitch just said the most racist shit
74,3,1,2,0,1, yo fuck skateboarding all yall some wood pushing faggots man ball is life 
75,3,0,1,2,2, baby monkey bathtime this is soo adorable
76,3,0,3,0,1, i aint shit damn skippy lol
77,3,1,2,0,1, u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyno bs must b 30chance
78,3,0,3,0,1, 0 rings 0 mvps 0 bitches lol
79,3,1,2,0,1, ppl talk bad about the ghettohood but as a kid growing up a nigga had funnnn 
80,9,0,7,2,1, the facts on tattoostattoo hes a pussy with not tattooing them nipples
81,3,0,3,0,1, bitches be wanting to act like niggas so bad that shit aint cuteee but niggas act like bitches
82,3,0,3,0,1, get worshiping bitch woof woof
83,3,1,2,0,1, wow im lost are those buttcheek piercings yeah shes a hoe
84,3,0,3,0,1, ok sis shed rather be a broke bitch shrugs shell have to tell me how it works for her
85,3,2,1,0,0, queer gaywad
87,3,0,3,0,1, faggot read my tweets after dat k it wasnt even funny lol
88,3,0,3,0,1, this bitch was so ungrateful fr lulwhore
89,3,0,3,0,1, i been kidnapped yo bitch
90,3,3,0,0,0, alsarabsss hes a beaner smh you can tell hes a mexican
91,3,1,2,0,1, happy birthday nigs thanks yo
92,6,1,5,0,1, when ur teacher tells u that u have homework this bitch need to go
93,3,1,2,0,1, that nigga was eating that hoe lol hell yea lol john paul nigga said john paul 
94,3,0,3,0,1, what would yall lil ugly bald headed bitches do if they stop making makeup weave
95,3,1,2,0,1, leafs better win this damn game so i can go riot and shit you better start looting my nig
96,3,0,3,0,1, going back to school sucks more dick than the hoes who attend it
97,3,0,3,0,1, on my way to fuck yo bitch me as a 9 year old
98,3,0,3,0,1, how come you never bring me food i dont have a car retard
99,3,0,3,0,1, if richnow doesnt show up with hella tinder hoes im not his friend anymore chill i brought like like 8 prople
100,3,1,2,0,1, how bout them cowboys shutup pussy
101,3,0,3,0,1, lmaoooooo this nigga bitch want likes for some depressing shitfoh
102,3,0,3,0,1, girl you know i was spitting that g shit to you you was going lbvsbitch plz
103,3,0,3,0,1, let me make a couple tweets off cuzzo page so i wont get in twitter jaillmao bitch dont trick me again
104,3,0,2,1,1, harlem shake is just an excuse to go full retard for 30 seconds
105,3,0,3,0,1, amen miley but she dont need to act like a hoe just bc shes emotionally damaged foh
106,3,0,3,0,1, having one loyal female is wayyy better than having hoes idc 
107,3,0,3,0,1, pussy licking pussy meow meow 
108,3,0,3,0,1, check out our 12th man even with all those faggot ny fans in the stands
109,3,0,3,0,1, what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
110,3,0,3,0,1, im the bitch okay nudes pat wow
111,3,3,0,0,0, youre fucking gay blacklisted hoe holding out for anyway 
112,3,0,3,0,1, the fuck be wrong with these bitches nobody knows
113,3,0,3,0,1, yall shut upp make me bitch
114,3,1,2,0,1, i hate a im pregnant type of bitch
115,3,0,3,0,1, got bitches in the dm but i dont ever readem which is y your top 3
116,3,0,0,3,2, baseball season for the win this is where the love started
117,3,0,3,0,1, little stupid as bitch i dont fuck with yooouu
118,3,0,3,0,1, she really asked me that dead ass serious tho all i could say was bitch wheet lol
119,3,0,0,3,2, im an early bird and im a night owl so im wise and have worms
120,3,0,1,2,2, overdosing on heavy drugs doesnt sound bad tonight i do that pussy shit every day
121,3,0,0,3,2, pit bulls photographed as lovely fairy tale creatures are fairy tale creatures
122,3,0,3,0,1, aw fag dont tweet aw to me lol
123,3,0,0,3,2, as long as the lakers trash from now on i could careless and thats real cc ha
124,3,0,3,0,1, i didnt say anything tho kiss me then faggot
125,3,0,0,3,2, this the i play soccer cheat on girls and wear khaki coloured cargos haircut yup
126,3,0,3,0,1, i could go for a fat ass bitch on my lap same
127,3,0,3,0,1, 17 missed calls das yo po bitch twitter finna be screamn freemoneymelle
128,6,0,6,0,1, ya side bitch gotta know its rules to this shitanybody ask you my cousin from jersey thinkin bout moving lmmfao 
129,3,0,3,0,1, 3 amo los pies fuck yeah
130,3,0,3,0,1, these hoes be thinking meat wont slap they ass ainna bruh
131,3,0,3,0,1, yall bitches wit no edges be doing the most talking 
132,3,0,3,0,1, yall still going trick or treating this year or nahhell yeah ima be da sweet tooth bandit steal bitches bags n shit
133,3,0,3,0,1, i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
134,6,0,6,0,1, if she kiss u with her eyes open watch that bitchlmfao
135,3,0,3,0,1, you a woulda coulda shoulda ass hoe 
136,3,0,3,0,1, happy bday bitch ass nigga that bitch roll up
137,3,0,3,0,1, used to send that bitch up
138,6,0,6,0,1, ugly bitches be like im my own wcw duh bitch you aint nobody elses
139,3,1,2,0,1, nigga you know we hacky sack hoes nah i throw no look passes lmao
141,3,1,2,0,1, glad im getting outta atlanta nothing but a bunch of niggas in outta jail dumb bitches with mad kids fuckin em
142,3,0,1,2,2, this isnt ghettoits smart im doing this idc
143,3,0,2,1,1, i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place
144,3,0,3,0,1, being single isnt an excuse to be a hoe 
145,3,1,2,0,1, white boy power bitch black power bitch
146,3,0,3,0,1, lets get drunk get blowed spit shit spark blunts fuck hoes bro white dudes have no chill
147,3,0,3,0,1, bitch where u been around the world and back where you been
148,3,0,3,0,1, if i dont get my dick sucked at yo party by a bad bitch im fr gone set it off by 
149,3,0,2,1,1, is soo cute but he probably has hoes on him a lot
150,3,0,3,0,1, in every cartoon theirs alway a saving these hoes lmao lmao damn captain saveahoe
151,3,0,1,2,2, who wants to get there nose in these bad bois then hot sox and legs
152,3,0,3,0,1, i wish i was a bitch like my brother keezy ooow i bet you do
153,6,0,6,0,1, if you dressed up as a cat for halloween you are basic or a pussy
154,4,0,4,0,1, can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie3
155,3,0,3,0,1, stop being scared to choke her during sex u bitch ass niggas shell like it says the guy who hits women out of bed foh
156,3,0,3,0,1, ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
157,6,0,6,0,1, oh man its 5 am you off a molly ho where the fuck ya seed at fixed
158,3,0,3,0,1, youre not a man if you refer to every girl as a bitch
159,3,0,3,0,1, lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
160,3,0,1,2,2, peel up peel up bring it back up rewind back where im from they move shaq from the line ooow who tf said that trash
161,3,0,2,1,1, io io alu record ho vine sai pe haha lol anywaaays ha
162,3,0,3,0,1, naw its my old tape new cover my upcoming mixtape is yeah im waiting on that hoe mayne
163,3,0,3,0,1, ol dirty foot ass bitches this was too funny to me
164,3,0,3,0,1, thats where i get my yellow flags for being amazing hell yeah niggy
165,3,0,3,0,1, dont got time for bitches to be actin iffy
166,3,0,0,3,2, come on stay alive knights nation this is still the early bird special comeatmeut
167,3,0,2,1,1, these hoes aint loyal no they aint wonder why nobody decent wants them
168,3,0,3,0,1, bruh you studs keep thinking im soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
169,3,0,3,0,1, dry pussy bitches always blame it on the condom
170,3,0,3,0,1, shut yo bitch ass up 
171,3,0,3,0,1, gucci mane in jail and dropping mixtapes every month and you hoes cant even text back
172,3,0,3,0,1, you love these hoes more then money wats wrong these niggas
173,6,0,6,0,1, a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
174,3,0,3,0,1, easy cum easy hoe thats a fact 
175,3,0,3,0,1, charlie sheen is too real major fucking respect for charlie sheen
176,3,0,3,0,1, wish i had a bae you got all the hoes tho
177,3,0,3,0,1, fuck twerking bitch can you cook 
178,3,0,3,0,1, bitch wtf 
179,3,1,2,0,1, shut up zoe fight me pussy for zoe im good man you are good maam move along now
180,3,0,3,0,1, lmao fucking snake bitches em
181,3,0,3,0,1, big booty hoes everywhere sheesh damn 
182,3,0,0,3,2, stay tuned to for an update on the report that 1b will be out 810 weeks bum
183,3,0,0,3,2, i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao
184,3,0,3,0,1, oregon chokes every year get off the field trash ass program rft
185,3,0,3,0,1, def not cowboy lol terrell owens was the best eagle cowboy ever dude cried like a bitch on tv over romo
186,3,3,0,0,0, lmfaoo i hate black people this is why theres black people and niggers
187,3,0,3,0,1, how could u do this to me bitch potent
188,3,0,1,2,2, a pissed lad past out i would lick his dirty soles while he slept
189,3,0,1,2,2, love frat boy w soft long soles
190,3,0,1,2,2, sexy lad with hot soles and arches
191,3,0,3,0,1, nah fam i gotta cheat with the hoes depends on the female i feel
192,3,0,0,3,2, i got hicks lol
193,3,1,2,0,1, this new twitter is confusing the shit out of me go back to south america bitch
194,3,0,3,0,1, toto means ass or vaginai think pussy cause to santi is like nasty pussy
195,3,0,3,0,1, but what if he actually does choose the ugly bitch over you her ass must be fat
196,3,0,3,0,1, bitch couldnt kill my vibe if ya tried dis why i love miley 
197,3,0,3,0,1, im tired of bitches saying i look mean nigga you big af wear tight shirts and grim everybody
198,6,0,0,6,2, 10 birds your grandkids may never see thanks to climate change climate
199,3,0,3,0,1, stay beautiful you bitch
200,3,0,3,0,1, wutkindar purple ceeeleeeman this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls
